"ORDER_LINE_ID","ORDER_ID","PRODUCT_ID","CUSTOMER_ID","ORDER_STATUS","ORDER_DATE","ORDER_QUANTITY"
"10002-8BME55-1","10002-8BME55",230,10002,Delivered,"2018-08-06",1
"10002-8BME55-2","10002-8BME55",150,10002,Delivered,"2018-08-06",1
"10003-0UUB95-1","10003-0UUB95",320,10003,Delivered,"2019-07-16",1
"10003-0UUB95-2","10003-0UUB95",120,10003,Delivered,"2019-07-16",1
"10003-0UUB95-3","10003-0UUB95",130,10003,Delivered,"2019-07-16",1
"10003-2RBA94-1","10003-2RBA94",320,10003,Canceled,"2020-07-08",1
"10003-2RBA94-2","10003-2RBA94",110,10003,Canceled,"2020-07-08",1
"10003-2RBA94-3","10003-2RBA94",160,10003,Canceled,"2020-07-08",1
"10003-4EWF56-1","10003-4EWF56",160,10003,Delivered,"2020-01-12",1
"10003-4EWF56-2","10003-4EWF56",150,10003,Delivered,"2020-01-12",2
"10003-4XKL24-1","10003-4XKL24",150,10003,Delivered,"2016-09-09",1
"10003-4XKL24-2","10003-4XKL24",130,10003,Delivered,"2016-09-09",1
"10003-4XKL24-3","10003-4XKL24",150,10003,Delivered,"2016-09-09",2
"10004-0BGF49-1","10004-0BGF49",160,10004,Delivered,"2020-05-07",1
"10004-8IZL92-1","10004-8IZL92",140,10004,Delivered,"2019-05-19",1
"10004-9JEJ88-1","10004-9JEJ88",340,10004,Delivered,"2016-09-17",1
"10004-9JEJ88-2","10004-9JEJ88",130,10004,Delivered,"2016-09-17",2
"10004-9JEJ88-3","10004-9JEJ88",410,10004,Delivered,"2016-09-17",1
"10005-0YUC56-1","10005-0YUC56",240,10005,Delivered,"2017-06-15",1
"10005-1IKC35-1","10005-1IKC35",160,10005,Delivered,"2016-12-29",1
"10005-1UAU52-1","10005-1UAU52",240,10005,Delivered,"2020-07-07",1
"10005-1UAU52-2","10005-1UAU52",240,10005,Delivered,"2020-07-07",1
"10005-1UAU52-3","10005-1UAU52",240,10005,Delivered,"2020-07-07",1
"10005-1UAU52-4","10005-1UAU52",330,10005,Delivered,"2020-07-07",1
"10005-4KFQ20-1","10005-4KFQ20",130,10005,Delivered,"2020-06-05",1
"10005-4KKD53-1","10005-4KKD53",150,10005,Delivered,"2019-12-01",3
"10005-4KKD53-2","10005-4KKD53",120,10005,Delivered,"2019-12-01",1
"10005-4KKD53-3","10005-4KKD53",220,10005,Delivered,"2019-12-01",1
"10005-7CPC27-1","10005-7CPC27",340,10005,Delivered,"2020-07-31",1
"10005-7CPC27-2","10005-7CPC27",110,10005,Delivered,"2020-07-31",1
"10005-7CPC27-3","10005-7CPC27",320,10005,Delivered,"2020-07-31",3
"10005-7CPC27-4","10005-7CPC27",160,10005,Delivered,"2020-07-31",1
"10005-7CPC27-5","10005-7CPC27",220,10005,Delivered,"2020-07-31",1
"10005-7CPC27-6","10005-7CPC27",130,10005,Delivered,"2020-07-31",1
"10006-1MPJ74-1","10006-1MPJ74",140,10006,Delivered,"2019-06-30",1
"10006-4NFO54-1","10006-4NFO54",330,10006,Delivered,"2020-06-05",3
"10006-5VQU77-1","10006-5VQU77",330,10006,Returned,"2020-02-19",1
"10006-5VQU77-2","10006-5VQU77",320,10006,Returned,"2020-02-19",1
